"player","pos","exp","num","hgt","team","conf","g","min","mpg","ppg","oreb","dreb","rpg","apg","tov","ast_to","spg","bpg","usg","ortg","efg","ts","year","id","fgm","ftm","fta","ft_pct","two_m","two_a","two_pct","three_m","three_a","three_pct","dunk_m","dunk_a","dunk_pct","rim_m","rim_a","rim_pct","mid_m","mid_a","mid_pct","porpag","dporpag","adj_oe","drtg","adj_de","stops","obpm","dbpm","bpm","oreb_rate","dreb_rate","ast","to","blk","stl","ftr","pfr","rec","pick","fga","fg_pct"
"Devin Dinkins","Scoring PG","So",0,"5-10","Manhattan","MAAC",30,75.7,30.7484,13.6129,0.6129,1.9032,2.5161,2.6774,1.58059995675695,1.69391375,0.8065,0.0323,20.2,122.3,54.4,62.15,2025,76572,111,124,142,0.873,50,119,0.42,61,141,0.433,0,0,NA,32,62,0.5161,18,57,0.3158,3.12386,1.22971,119.527,114.088,120.069,126.604,3.22141,-2.11338,1.10803,2.2,6.9,17.1,15.1,0.1,1.6,54.6,1.6,NA,NA,260,0.426923076923077
"Peter Oduro","Wing F","Jr",12,"6-8","Coppin St.","MEAC",29,67.5,27.1,8.6,1.3,2.7667,4.0667,0.4667,1.16670003607096,0.40001713,0.3333,0.3,16.1,102.8,53.4,55.62,2025,76573,101,42,63,0.667,97,178,0.545,4,15,0.267,1,1,1,63,97,0.6495,34,81,0.4198,0.403191,1.34926,94.0841,114.729,117.375,113.086,-3.78292,-2.23099,-6.01391,5.5,13.4,4.1,15.6,1.3,0.7,32.6,4.1,NA,NA,193,0.523316062176166
"Emeka Nnaji","PF/C","So",22,"6-7","Grambling St.","SWAC",24,11.4,6.9037,1.8148,0.2963,0.8148,1.1111,0.1852,0.259299985805706,0.71423066,0.1852,0.1852,17.5,83.7,37.5,41.44,2025,76574,12,10,19,0.526,12,31,0.387,0,1,0,3,3,1,9,20,0.45,3,11,0.2727,-0.22251,0.437857,79.0171,105.974,110.602,23.1146,-5.27329,-0.876171,-6.14947,5.1,12.4,5.9,14.5,3.1,1.3,59.4,4.2,51.6,NA,32,0.375
"Noah Batchelor","Wing F","Jr",1,"6-6","Buffalo","MAC",28,72.1,29.4333,6.8,1.6,4.4667,6.0667,1.3,1.26670007636837,1.02628872,0.8333,0.3,13.5,100,44.8,49.06,2025,76577,60,39,52,0.75,25,61,0.41,35,112,0.313,3,4,0.75,17,35,0.4857,8,26,0.3077,-0.106291,1.76152,88.7543,113.598,114.795,143.592,-1.99345,-1.54709,-3.54054,5.6,16.3,7.7,15.1,0.8,1.5,30.1,2,59.4,NA,173,0.346820809248555
"Patrick Wessler","PF/C","So",5,"7-0","Virginia Tech","ACC",31,25.4,10.6194,3.9032,1.0323,1.871,2.9032,0.1613,0.387100003962195,0.41668819,0.1613,0.3548,16.9,123,63.1,63.87,2025,76579,50,20,31,0.645,49,79,0.62,1,1,1,3,4,0.75,33,45,0.7333,16,34,0.4706,1.13873,1.03785,121.055,107.244,103.274,60.8532,0.913537,0.705536,1.61907,12,21.8,3.3,13.1,4,0.9,38.8,5.6,70,NA,80,0.625
"Victor Panov","Stretch 4","Fr",1,"6-7","Drexel","CAA",31,54.1,22.5563,6.2812,1.3438,2.7812,4.125,1.2188,1.15620010074726,1.05414279,0.3125,0.4375,16.9,105,50.9,52.7,2025,76580,77,22,32,0.688,62,105,0.59,15,61,0.246,2,2,1,38,60,0.6333,24,45,0.5333,0.568689,1.88105,97.1215,105.472,107.493,110.216,-2.12985,-0.00718533,-2.13704,7.5,14.1,10.1,19.5,2.1,0.9,19.3,3.4,NA,NA,166,0.463855421686747
"Tre Green","Wing G","Jr",11,"6-3","Middle Tennessee","CUSA",29,28.8,13.2452,4.5161,0.3548,1.2903,1.6452,0.2903,0.645199990994315,0.44993801,0.1935,0.0323,14.4,115.1,63.4,65.45,2025,76581,41,16,20,0.8,14,19,0.737,27,67,0.403,0,0,NA,10,12,0.8333,4,7,0.5714,0.827747,1.04628,108.617,109.065,107.968,54.3014,0.927631,-0.532835,0.394796,3,10.6,3.8,20.2,0.3,0.9,23.3,2.4,NA,NA,86,0.476744186046512
"MJ Collins","Wing G","Jr",2,"6-4","Vanderbilt","SEC",32,49,20.2969,7.4375,0.7812,1.5312,2.3125,0.5,0.937500005859375,0.53333333,0.5938,0,18.5,103.3,48.8,52.19,2025,76582,84,43,59,0.729,57,108,0.528,27,92,0.293,11,13,0.8462,41,67,0.6119,16,41,0.3902,1.1554,1.86986,106.248,111.337,105.126,91.1194,0.846217,-0.797303,0.0489147,4.3,9.2,4.4,14.3,0,1.7,29.5,1.7,63.4,NA,200,0.42
"Rodney Rice","Combo G","So",1,"6-4","Maryland","B10",36,77.5,31.1028,13.8056,0.5833,1.6389,2.2222,2.0556,1.08330003355669,1.89753525,0.6944,0.0556,19.7,118.7,53.8,57.33,2025,76583,167,83,102,0.814,87,171,0.509,80,214,0.374,3,3,1,29,57,0.5088,58,114,0.5088,3.6025,3.78645,123.274,102.42,96.5591,159.217,3.60818,1.55099,5.15917,2.2,5.9,11.6,10.1,0.2,1.3,26.5,2,86.8,NA,385,0.433766233766234
"Walter Hamilton","PF/C","Sr",5,"6-8","Mississippi Valley St.","SWAC",9,14.8,18.4545,5,1.6364,1.7273,3.3636,0.4545,1.09089997880126,0.41662848,0.6364,0.1818,15.8,104.1,46.7,57.66,2025,76589,14,17,19,0.895,14,29,0.483,0,1,0,0,0,NA,9,17,0.5294,5,12,0.4167,0.984772,1.12831,104.69,124.489,114.695,24.5318,-2.22919,-3.26109,-5.49028,8.4,10.9,6,20.1,1.3,1.8,63.3,4.4,NA,NA,30,0.466666666666667
