,player,pos_grouped,fr,VORP,VORP/Gm,VORP/Yr,power_conf,picktier,ppg_pct,rpg_pct,apg_pct,spg_pct,bpg_pct,tov_pct,usg_pct,ortg_pct,efg_pct,ts_pct,obpm_pct,dbpm_pct,bpm_pct,porpag_pct,dporpag_pct,adj_oe_pct,drtg_pct,adj_de_pct,HGT_pct,WGT_pct,BMI_pct,BF_pct,WNGSPN_pct,STNDRCH_pct,HANDL_pct,HANDW_pct,STNDVERT_pct,LPVERT_pct,LANE_pct,SHUTTLE_pct,SPRINT_pct,BENCH_pct,PAN_pct,PBHGT_pct,PDHGT_pct
134,mason plumlee,big,1,15.1,0.01755813953,1.258333333,1,3,16.428571428571427,15.0,59.285714285714285,43.214285714285715,35.714285714285715,28.57142857142857,17.142857142857142,15.0,7.142857142857142,7.142857142857142,16.428571428571427,86.42857142857143,41.42857142857143,19.28571428571429,28.57142857142857,15.714285714285714,17.857142857142858,12.857142857142856,47.286821705426355,50.3875968992248,49.224806201550386,49.2,49.224806201550386,47.674418604651166,42.248062015503876,51.55038759689923,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,51.93798449612403,50.495049504950494,48.51485148514851
135,mason plumlee,big,0,15.1,0.01755813953,1.258333333,1,3,12.376237623762377,58.415841584158414,75.74257425742574,76.73267326732673,63.366336633663366,57.920792079207914,8.663366336633663,13.861386138613863,75.4950495049505,36.13861386138614,21.782178217821784,91.58415841584159,54.45544554455446,9.405940594059405,69.80198019801979,6.9306930693069315,8.415841584158416,8.415841584158416,47.286821705426355,50.3875968992248,49.224806201550386,49.2,49.224806201550386,47.674418604651166,42.248062015503876,51.55038759689923,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,51.93798449612403,50.495049504950494,48.51485148514851
136,mason plumlee,big,0,15.1,0.01755813953,1.258333333,1,3,33.16831683168317,75.74257425742574,77.72277227722772,63.11881188118812,59.4059405940594,78.71287128712872,45.2970297029703,24.257425742574256,61.386138613861384,35.396039603960396,50.0,48.01980198019802,49.00990099009901,38.613861386138616,50.0,27.22772277227723,56.930693069306926,50.495049504950494,47.286821705426355,50.3875968992248,49.224806201550386,49.2,49.224806201550386,47.674418604651166,42.248062015503876,51.55038759689923,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,51.93798449612403,50.495049504950494,48.51485148514851
137,mason plumlee,big,0,15.1,0.01755813953,1.258333333,1,3,85.14851485148515,86.63366336633663,88.61386138613861,82.67326732673267,50.495049504950494,96.53465346534654,66.58415841584159,58.91089108910891,78.46534653465346,85.14851485148515,75.74257425742574,58.415841584158414,70.79207920792079,89.60396039603961,94.55445544554455,72.27722772277228,34.15841584158416,27.722772277227726,93.02325581395348,56.58914728682171,27.906976744186046,32.800000000000004,8.13953488372093,47.674418604651166,96.12403100775194,38.759689922480625,69.3069306930693,74.75247524752476,8.673469387755102,6.557377049180328,47.0,77.7027027027027,75.96899224806202,68.8118811881188,81.1881188118812
138,jordan williams,big,1,0,0,0.0,1,4,51.42857142857142,81.42857142857143,10.714285714285714,66.42857142857143,40.0,30.0,33.214285714285715,42.857142857142854,28.92857142857143,18.571428571428573,37.142857142857146,6.428571428571428,24.285714285714285,52.142857142857146,62.857142857142854,37.857142857142854,35.714285714285715,35.0,47.286821705426355,50.3875968992248,49.224806201550386,49.2,49.224806201550386,47.674418604651166,42.248062015503876,51.55038759689923,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,51.93798449612403,50.495049504950494,48.51485148514851
139,jordan williams,big,0,0,0,0.0,1,4,84.15841584158416,98.51485148514851,20.792079207920793,53.71287128712871,46.53465346534654,36.633663366336634,54.95049504950495,44.306930693069305,38.86138613861386,23.762376237623762,52.475247524752476,20.792079207920793,35.64356435643564,65.84158415841584,89.10891089108911,44.05940594059406,26.237623762376238,27.22772277227723,24.8062015503876,77.51937984496125,86.82170542635659,91.2,21.31782945736434,25.1937984496124,69.37984496124031,65.50387596899225,12.376237623762377,17.82178217821782,96.93877551020408,50.0,81.0,45.27027027027027,73.25581395348837,3.9603960396039604,4.9504950495049505
140,avery bradley,g,1,-1.8,-0.002727272727,-0.15,1,3,51.11111111111111,38.88888888888889,23.88888888888889,61.111111111111114,90.0,25.555555555555554,20.0,51.11111111111111,50.0,22.77777777777778,38.88888888888889,57.77777777777777,51.11111111111111,40.0,66.66666666666666,27.77777777777778,40.0,33.33333333333333,32.29166666666667,14.583333333333334,28.125,6.521739130434782,42.70833333333333,47.91666666666667,32.29166666666667,68.75,62.19512195121951,57.3170731707317,85.36585365853658,51.85185185185185,23.170731707317074,10.416666666666668,54.166666666666664,52.4390243902439,51.21951219512195
141,daniel orton,big,1,-0.2,-0.003921568627,-0.06666666667,1,3,13.571428571428571,17.857142857142858,26.42857142857143,47.14285714285714,60.71428571428571,32.142857142857146,11.428571428571429,8.571428571428571,35.714285714285715,21.428571428571427,5.714285714285714,95.0,31.428571428571427,6.428571428571428,25.71428571428571,5.0,12.142857142857142,11.428571428571429,47.286821705426355,96.89922480620154,95.34883720930233,96.39999999999999,80.23255813953489,82.94573643410853,7.751937984496124,51.55038759689923,5.9405940594059405,17.82178217821782,87.75510204081633,50.0,67.0,70.27027027027027,22.48062015503876,19.306930693069308,40.099009900990104
142,eric bledsoe,g,1,18.8,0.02486772487,1.566666667,1,3,45.55555555555556,43.888888888888886,44.44444444444444,70.0,72.22222222222221,86.66666666666667,27.77777777777778,31.666666666666664,86.11111111111111,80.0,24.444444444444443,67.77777777777779,44.44444444444444,33.33333333333333,76.66666666666667,18.88888888888889,16.666666666666664,20.0,5.208333333333334,45.83333333333333,78.125,38.04347826086957,52.083333333333336,36.45833333333333,61.458333333333336,82.29166666666666,52.4390243902439,49.390243902439025,51.09995217599234,51.85185185185185,51.21951219512195,60.416666666666664,81.25,52.4390243902439,51.21951219512195
143,khris middleton,wing,1,16.6,0.02139175258,1.276923077,1,4,28.191489361702125,35.37234042553192,32.97872340425532,56.38297872340425,35.90425531914894,36.702127659574465,31.382978723404253,57.71276595744681,53.72340425531915,59.57446808510638,52.12765957446809,81.91489361702128,64.36170212765957,37.234042553191486,40.95744680851064,48.40425531914894,26.063829787234045,16.48936170212766,50.30120481927711,50.60606060606061,51.21212121212121,51.37931034482759,50.903614457831324,51.50602409638554,59.93975903614458,53.6144578313253,48.134328358208954,47.03703703703704,50.18939393939394,51.30208333333333,50.0,50.0,48.493975903614455,48.134328358208954,48.148148148148145
